order_id,order_date,order_hour,weekday,city,lat,lon,restaurant_type,cuisine,channel,payment_mode,traffic_level,weather,distance_km,prep_time_min,order_value,delivery_time_min,customer_rating,late_delivery,weekend
QB100000,2024-04-18,7,Thursday,Delhi NCR,28.615046564787534,77.17784787655759,Quick Service,North Indian,Web,COD,Low,Cloudy,12.06,14.2,235.28,56.5,3.24,1,0
QB100001,2024-09-03,14,Tuesday,Surat,21.309771133860696,72.80861842821828,Cloud Kitchen,Indian,App,UPI,Low,Clear,5.27,22.2,320.38,54.7,3.35,0,0
QB100002,2024-05-31,18,Friday,Hyderabad,17.552075421829596,78.41723658144988,Casual Dining,Fast Food,App,Card,Medium,Rain,5.66,16.2,393.15,64.4,2.13,1,0
QB100003,2024-11-15,13,Friday,Bengaluru,13.029552837714682,77.68199988304683,Premium Dining,Biryani,App,Wallet,High,Cloudy,6.35,21.7,510.83,75.8,1.09,1,0
QB100004,2024-10-08,14,Tuesday,Mumbai,19.216689638735613,72.96541753870487,Quick Service,South Indian,Web,UPI,Low,Rain,2.15,11.6,307.8,34.0,4.96,0,0
QB100005,2024-08-19,7,Monday,Mumbai,19.069024108098947,72.94062320215872,Quick Service,South Indian,App,COD,High,Cloudy,3.36,9.7,193.29,49.1,4.01,0,0
QB100006,2024-04-16,12,Tuesday,Mumbai,19.19169557323963,72.76658867566616,Premium Dining,Fast Food,Web,Wallet,Medium,Clear,3.8,17.7,431.3,38.9,5.0,0,0
QB100007,2024-02-28,9,Wednesday,Pune,18.536183381250495,73.88160469387543,Cloud Kitchen,Chinese,Web,Wallet,Medium,Cloudy,10.54,16.8,270.46,73.2,1.12,1,0
QB100008,2024-01-08,17,Monday,Hyderabad,17.41691866630325,78.53914831302987,Quick Service,Chinese,App,COD,Low,Clear,5.11,18.4,297.94,47.1,4.94,0,0
QB100009,2024-08-26,6,Monday,Hyderabad,17.373317071540658,78.58993014010066,Quick Service,North Indian,App,UPI,Low,Rain,7.1,6.9,281.01,54.7,3.8,0,0
